id,completion_date,group,user,job_id,tool,host,duration,queue_time,status,resources1,resources2,resources3,resources4,resources5
44195,16/07/2023 18:02:52,/proj/vm.evyatarc,evyatarc,6214954,vm_remote_job2,hl-xn126,16s,3s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44196,16/07/2023 18:02:52,/proj/users.juser-vlsi,juser-vlsi,6214764,vm_remote_job2,hl-xn137,3m14s,0s,Done,CORES/1,RAM/20480MB,License:AscentLintBase#1,,
44197,16/07/2023 18:02:53,/proj/vm.evyatarc,evyatarc,6214952,vm_remote_job2,hl-xn134,17s,4s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44198,16/07/2023 18:02:53,/time/users.moshez,moshez,6149149,vivado,hl-xn134,4d00h,0s,Done,CORES/4,RAM/120768MB,,,
44199,16/07/2023 18:02:53,/proj/vm.evyatarc,evyatarc,6214956,vm_remote_job2,hl-xn134,15s,3s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44200,16/07/2023 18:02:53,/proj/vm.evyatarc,evyatarc,6214958,vm_remote_job2,hl-xn134,15s,2s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44201,16/07/2023 18:02:57,/proj/vm.evyatarc,evyatarc,6214960,vm_remote_job2,hl-xn137,13s,6s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44202,16/07/2023 18:02:58,/proj/vm.yasmineh,yasmineh,6214770,vm_remote_job2,hl-xn124,3m09s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44203,16/07/2023 18:03:00,/proj/vm.juser-vlsi,juser-vlsi,6214688,vm_remote_job2,hl-xn127,6m37s,0s,Failed,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,,
44204,16/07/2023 18:03:01,/proj/vm.juser-vlsi,juser-vlsi,6214741,vm_remote_job2,hl-xn134,4m30s,0s,Failed,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,,
